nombre_lugar,tipo_experiencia,rating,direccion,Reviews
Museo Nacional de Culturas Populares,Museo,4.5,"Av Miguel Hidalgo 289, Del Carmen, Coyoacán, 04000 Ciudad de México, CDMX, México",6491
Museo Casa Estudio Diego Rivera y Frida Kahlo,Museo,4.5,"Diego Rivera s/n, San Ángel Inn, Álvaro Obregón, 01060 Ciudad de México, CDMX, México",3096
Museo José Luis Cuevas,Museo,4.5,"La Academia 13, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, México",1804
Museo de la Mujer,Museo,4.4,"Calle República de Bolivia 17, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, México",1101
Ex Teresa Arte Actual,Museo,4.5,"Lic. Verdad 8, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, México",611
"Museo Nacional de la Acuarela ""Alfredo Guati Rojo""",Museo,4.6,"Calle Salvador Novo 88, Santa Catarina, Coyoacán, 04010 Ciudad de México, CDMX, México",288
Museo Casa de León Trotsky,Museo,4.5,"Av. Río Churubusco 410, Del Carmen, Coyoacán, 04100 Ciudad de México, CDMX, México",4758
Museo Nacional de las Culturas,Museo,4.7,"Moneda 13, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",9855
Museo del Tiempo,Museo,4.7,"Plaza de la Constitución 7 a un costado del edificio de la Alcaldía, Tlalpan Centro I, Tlalpan, 14000 Ciudad de México, CDMX, México",561
Museo Experimental el Eco,Museo,4.2,"Calle James Sullivan 43, San Rafael, Cuauhtémoc, 06470 Ciudad de México, CDMX, México",544
Museo Indígena. Antigua Aduana de Peralvillo,Museo,4.5,"Av. Paseo de la Reforma 707, Peralvillo, Morelos, Cuauhtémoc, 06200 Ciudad de México, CDMX, México",904
"MIDE, Museo Interactivo de Economía",Museo,4.6,"Calle de Tacuba 17, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",10463
MUSEO TRICK EYE,Museo,4.5,"Av Ejército Nacional 843-B, Granada, Miguel Hidalgo, 11520 Ciudad de México, CDMX, México",2543
Laboratorio Arte Alameda,Museo,4.5,"Calle Dr Mora 7, Colonia Centro, Centro, Cuauhtémoc, 06050 Ciudad de México, CDMX, México",485
SALA DE ARTE PÚBLICO SIQUEIROS,Museo,4.5,"Calle 3 Picos 29, Polanco, Polanco V Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX, México",364
Museo Numismático Nacional,Museo,4.6,"Calle República de Bolivia S/N, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Cuauhtemoc, CDMX, México",1485
Museo de El Carmen,Museo,4.7,"y 6, Av. Revolución 4, San Ángel, Álvaro Obregón, 01000 Ciudad de México, México",2081
Museo Archivo de la Fotografía,Museo,4.5,"República de Guatemala 34, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, México",780
Museo Casa de Carranza,Museo,4.6,"Calle Río Lerma 35, Col. Renacimiento, Cuauhtémoc, 06500 Ciudad de México, CDMX, México",1023
Museo de la luz,Museo,4.5,"San Ildefonso 43, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, México",4295
Museo Tamayo Arte Contemporáneo,Museo,4.4,"Av. Paseo de la Reforma 51, Polanco, Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Ciudad de México, CDMX, México",7636
Museo Nacional de la Estampa,Museo,4.5,"Av. Hidalgo 39, Centro Histórico de la Cdad. de México, Guerrero, Cuauhtémoc, 06050 Ciudad de México, CDMX, México",617
UNAM Palacio de la Escuela de Medicina Museo de la Medicina,Museo,4.6,"República de Brasil 33, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, México",7321
Museo del Chocolate,Museo,4.5,"Calle Milan 45, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, México",4394
Museo de la Secretaría de Hacienda y Crédito Público,Museo,4.6,"Moneda 4, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Centro, CDMX, México",706
Mumedi La embajada del diseño,Museo,4.5,"Av Francisco I. Madero 74, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",5948
Museo Universitario del Chopo,Museo,4.5,"Calle Dr. Enrique Gonzalez Martinez 10, Sta María la Ribera, Cuauhtémoc, 06400 Ciudad de México, CDMX, México",3882
Museo de la Charrería,Museo,4.3,"Isabel La Católica 108, Centro, Cuauhtémoc, 06080 Ciudad de México, CDMX, México",114
Universum Museo de las Ciencias de la UNAM,Museo,4.6,"Universidad Nacional Autónoma de México, Ciudad Universitaria, Cto. Centro Cultural de, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",17542
Museo Nacional de la Cartografía,Museo,4.3,"Av Observatorio 94, Observatorio, Miguel Hidalgo, 11870 Ciudad de México, CDMX, México",617
